Date,1540-price,1540-nav,1540-dev,1541-price,1541-nav,1541-dev,1542-price,1542-nav,1542-dev,1543-price,1543-nav,1543-dev
2010/07/02,3450,3422.94,0.79,4355,4311.89,1.00,5140,5133.86,0.12,12750,12438.59,2.50
2010/07/05,3490,3432.75,1.67,4365,4294.57,1.64,5140,5112.43,0.54,12540,12286.34,2.06
2010/07/06,3415,3414.68,0.01,4330,4278.46,1.20,5120,5081.29,0.76,12500,12362.92,1.11
2010/07/07,3410,3337.62,2.17,4315,4240.36,1.76,5090,5031.15,1.17,12340,12209.51,1.07
2010/07/08,3455,3428.56,0.77,4455,4379.25,1.73,5210,5199.01,0.21,12600,12825.1,-1.76
2010/07/09,3455,3410.49,1.31,4450,4382.14,1.55,5170,5177.86,-0.15,12720,12810.67,-0.71
2010/07/12,3505,3452.3,1.53,4475,4387.81,1.99,5200,5217.43,-0.33,13050,13126.41,-0.58
2010/07/13,3475,3416.24,1.72,4400,4347.7,1.20,5200,5169.29,0.59,13380,13090.98,2.21
2010/07/14,3495,3471.17,0.69,4460,4415.6,1.01,5280,5267.15,0.24,13600,13446.56,1.14
2010/07/15,3475,3431.11,1.28,4415,4350.49,1.48,5260,5247,0.25,13450,13276.13,1.31
2010/07/16,3425,3387.05,1.12,4360,4297.38,1.46,5180,5145.86,0.66,13300,13032.7,2.05
2010/07/20,3355,3314.79,1.21,4320,4263.95,1.31,5020,5013.29,0.13,12800,12527,2.18
2010/07/21,3355,3334.73,0.61,4320,4249.84,1.65,5030,4981.15,0.98,12800,12661.58,1.09
2010/07/22,3335,3284.67,1.53,4290,4204.73,2.03,5000,4943.01,1.15,12860,12391.16,3.78
2010/07/23,3360,3355.65,0.13,4330,4314.63,0.36,5110,5121.87,-0.23,12810,12848.75,-0.30
2010/07/26,3390,3356.49,1.00,4410,4375.3,0.79,5180,5160.44,0.38,13200,13300.48,-0.76
2010/07/27,3345,3320.44,0.74,4420,4382.2,0.86,5160,5130.3,0.58,13200,13319.05,-0.89
2010/07/28,3320,3292.39,0.84,4430,4381.09,1.12,5070,5059.16,0.21,13200,13295.63,-0.72
2010/07/29,3305,3284.34,0.63,4400,4370.98,0.66,5000,5007.02,-0.14,13550,13272.2,2.09
2010/07/30,3295,3252.29,1.31,4420,4346.87,1.68,4980,4936.88,0.87,13510,13574.77,-0.48
2010/08/02,3330,3299.11,0.94,4460,4448.51,0.26,5120,5098.38,0.42,14100,13899.18,1.44
2010/08/03,3325,3292.06,1.00,4465,4445.4,0.44,5140,5146.21,-0.12,14600,14218.62,2.68
2010/08/04,3305,3279.01,0.79,4430,4405.3,0.56,5150,5137.08,0.25,14050,13891.3,1.14
2010/08/05,3350,3308.95,1.24,4440,4393.2,1.07,5160,5119.94,0.78,13780,13910.86,-0.94
2010/08/06,3350,3318.89,0.94,4390,4372.1,0.41,5140,5139.79,0.00,14030,13800.47,1.66
2010/08/09,3350,3329.73,0.61,4370,4327.79,0.98,5160,5150.36,0.19,13730,13468.29,1.94
2010/08/10,3350,3312.68,1.13,4320,4287.7,0.75,5140,5089.24,1.00,13350,13198.96,1.14
2010/08/11,3330,3294.64,1.07,4310,4258.6,1.21,5080,5038.12,0.83,13500,13124.56,2.86
2010/08/12,3335,3292.58,1.29,4220,4158.53,1.48,5000,4958.01,0.85,12900,12727.29,1.36
2010/08/16,3410,3372.34,1.12,4290,4254.07,0.84,5100,5089.39,0.21,13520,13191.42,2.49
2010/08/17,3405,3361.29,1.30,4280,4251.96,0.66,5120,5119.24,0.01,13620,13248.97,2.80
2010/08/18,3410,3370.23,1.18,4265,4271.85,-0.16,5140,5150.08,-0.20,13620,13635.39,-0.11
2010/08/20,3420,3382.12,1.12,4210,4201.66,0.20,5080,5080.83,-0.02,13210,13226.68,-0.13
2010/08/23,3410,3378.96,0.92,4210,4172.35,0.90,5040,5000.44,0.79,13210,13145.43,0.49
2010/08/24,3380,3338.92,1.23,4150,4118.27,0.77,4985,4941.32,0.88,13210,13053.04,1.20
2010/08/25,3385,3346.86,1.14,4160,4129.16,0.75,5050,5032.14,0.35,13210,13214.55,-0.03
2010/08/26,3420,3381.79,1.13,4230,4196.03,0.81,5270,5184.94,1.64,13800,13544,1.89
2010/08/27,3405,3372.74,0.96,4220,4209.92,0.24,5220,5175.8,0.85,13700,13633.53,0.49
2010/08/30,3415,3379.58,1.05,4255,4224.59,0.72,5320,5256.34,1.21,13700,13932.12,-1.67
2010/08/31,3380,3339.54,1.21,4140,4113.53,0.64,5230,5146.24,1.63,13500,13248.95,1.89
2010/09/01,3430,3393.45,1.08,4180,4159.36,0.50,5280,5275.95,0.08,13800,13627.03,1.27
2010/09/02,3420,3374.41,1.35,4200,4188.23,0.28,5220,5255.83,-0.68,13800,14077.21,-1.97
2010/09/03,3420,3390.35,0.87,4250,4231.09,0.45,5320,5315.63,0.08,13950,14187.68,-1.68
2010/09/06,3420,3389.19,0.91,4295,4270.73,0.57,5450,5404.12,0.85,14350,14412.17,-0.43
2010/09/07,3420,3377.14,1.27,4270,4249.64,0.48,5440,5382.99,1.06,14350,14331.79,0.13
2010/09/08,3420,3384.08,1.06,4220,4217.56,0.06,5450,5354.87,1.78,14100,14035.6,0.46
2010/09/09,3405,3382.03,0.68,4240,4206.47,0.80,5450,5366.71,1.55,14100,14056.15,0.31
2010/09/10,3405,3367.98,1.10,4240,4221.35,0.44,5420,5344.59,1.41,14450,14203.58,1.73
2010/09/13,3400,3363.83,1.08,4245,4208.04,0.88,5460,5385.12,1.39,14140,14064.38,0.54
2010/09/14,3395,3359.81,1.05,4260,4228.92,0.73,5500,5432.93,1.23,14800,14460.6,2.35
2010/09/15,3470,3460.67,0.27,4395,4355.7,0.90,5680,5583.65,1.73,15090,14873.81,1.45
2010/09/16,3485,3472.61,0.36,4420,4402.55,0.40,5720,5625.47,1.68,15260,15079.18,1.20
2010/09/17,3560,3525.52,0.98,4500,4472.38,0.62,5830,5775.19,0.95,15260,15250.59,0.06
2010/09/21,3540,3517.31,0.65,4480,4467.95,0.27,5710,5683.67,0.46,14730,14796.15,-0.45
2010/09/22,3545,3523.25,0.62,4480,4464.84,0.34,5830,5759.45,1.22,14740,14747.74,-0.05
2010/09/24,3560,3524.15,1.02,4515,4490.6,0.54,5850,5771.14,1.37,15490,15132.52,2.36
2010/09/27,3550,3518.99,0.88,4500,4470.28,0.66,5950,5859.61,1.54,15450,15152.14,1.97
2010/09/28,3530,3497.95,0.92,4410,4399.23,0.24,5890,5770.53,2.07,14950,14812.97,0.93
2010/09/29,3545,3523.88,0.60,4475,4438.09,0.83,6000,5881.29,2.02,15120,15253.15,-0.87
2010/09/30,3530,3510.84,0.55,4430,4418,0.27,5940,5851.16,1.52,15430,15035.88,2.62
2010/10/01,3550,3512.77,1.06,4510,4482.79,0.61,5990,5859.91,2.22,15420,15283.87,0.89
2010/10/04,3570,3534.59,1.00,4565,4517.42,1.05,6050,5939.35,1.86,15300,15293.49,0.04
2010/10/05,3565,3545.52,0.55,4530,4513.31,0.37,6040,5891.26,2.52,15200,15124.25,0.50
2010/10/06,3630,3602.41,0.77,4625,4569.13,1.22,6260,6138.81,1.97,15850,15488.33,2.34
2010/10/07,3635,3610.34,0.68,4645,4590.99,1.18,6340,6196.58,2.31,16000,15762.53,1.51
2010/10/08,3570,3527.38,1.21,4550,4498,1.16,6090,5978.77,1.86,15700,15463.44,1.53
2010/10/12,3590,3538.16,1.47,4500,4450.62,1.11,6140,6037.13,1.70,15600,15346.76,1.65
2010/10/13,3595,3569.07,0.73,4500,4479.47,0.46,6280,6195.88,1.36,15850,15644.93,1.31
2010/10/14,3640,3600.98,1.08,4535,4492.34,0.95,6490,6397.39,1.45,15850,15736.35,0.72
2010/10/15,3645,3600.93,1.22,4520,4470.26,1.11,6600,6439.19,2.50,16000,15717.91,1.79
2010/10/18,3600,3548.82,1.44,4450,4404.01,1.04,6380,6253.14,2.03,15400,14996.43,2.69
2010/10/19,3620,3576.74,1.21,4465,4447.85,0.39,6480,6373.79,1.67,15400,15327.56,0.47
2010/10/20,3545,3499.77,1.29,4420,4378.83,0.94,6330,6183.01,2.38,14980,15025.49,-0.30
2010/10/21,3545,3498.72,1.32,4420,4395.7,0.55,6270,6181.89,1.43,15260,15248.76,0.07
2010/10/22,3500,3460.71,1.14,4425,4390.59,0.78,6120,6059.99,0.99,15410,15486,-0.49
2010/10/25,3510,3488.52,0.62,4430,4402.25,0.63,6230,6149.45,1.31,15850,15625.45,1.44
2010/10/26,3505,3474.48,0.88,4470,4439.1,0.70,6220,6108.4,1.83,16200,15942.59,1.61
2010/10/27,3540,3500.4,1.13,4520,4491.92,0.63,6310,6249.02,0.98,16490,16380.57,0.67
2010/10/28,3520,3475.37,1.28,4470,4429.89,0.91,6250,6189.01,0.99,16230,16299.2,-0.42
2010/10/29,3510,3477.32,0.94,4430,4417.79,0.28,6290,6177.9,1.81,16550,16429.57,0.73
2010/11/01,3555,3525.1,0.85,4470,4459.37,0.24,6490,6446.95,0.67,16950,16805.32,0.86
2010/11/02,3550,3512.06,1.08,4480,4466.25,0.31,6480,6426.87,0.83,16860,16885.71,-0.15
2010/11/04,3550,3514.95,1.00,4515,4477.01,0.85,6510,6499.46,0.16,16980,16895.74,0.50
2010/11/05,3635,3600.78,0.95,4645,4626.65,0.40,6860,6839.6,0.30,17880,17662,1.23
2010/11/08,3655,3629.57,0.70,4650,4623.32,0.58,7060,7000.85,0.84,17900,17817.27,0.46
2010/11/09,3695,3670.46,0.67,4680,4654.16,0.56,7490,7317.03,2.36,18730,18605.48,0.67
2010/11/10,3705,3672.4,0.89,4690,4669.02,0.45,7330,7248.04,1.13,18400,18210.63,1.04
2010/11/11,3750,3717.28,0.88,4720,4692.87,0.58,7330,7286.82,0.59,18950,18868.05,0.43
2010/11/12,3685,3669.3,0.43,4575,4589.93,-0.33,7170,7100.16,0.98,18500,18406.31,0.51
2010/11/15,3650,3631.19,0.52,4500,4489.76,0.23,6990,6870.3,1.74,18060,17903.64,0.87
2010/11/16,3660,3624.14,0.99,4530,4481.66,1.08,6900,6829.27,1.04,18200,17898.16,1.69
2010/11/17,3625,3589.14,1.00,4450,4420.65,0.66,6800,6817.17,-0.25,17200,17100.98,0.58
2010/11/18,3650,3615.05,0.97,4480,4461.48,0.42,7040,7024.59,0.22,18300,18072.9,1.26
